Year,Date,Plot,Adult,Leafhopper Number
2022,7/21/2022,A1,81-100,24
2022,7/21/2022,A2,0-20,19
2022,7/21/2022,A3,81-100,19
2022,7/21/2022,A4,0-20,17
2022,7/21/2022,A5,21-40,14
2022,7/21/2022,A6,41-60,7
2022,7/21/2022,A7,61-80,8
2022,7/21/2022,A8,81-100,15
2022,7/21/2022,B1,0-20,12
2022,7/21/2022,B2,81-100,24
2022,7/21/2022,B3,61-80,13
2022,7/21/2022,B4,41-60,30
2022,7/21/2022,B5,41-60,17
2022,7/21/2022,B7,81-100,10
2022,7/21/2022,B8,61-80,13
2022,7/21/2022,C1,61-80,7
2022,7/21/2022,C2,61-80,15
2022,7/21/2022,C3,61-80,4
2022,7/21/2022,C4,81-100,28
2022,7/21/2022,C5,21-40,11
2022,7/21/2022,C6,81-100,18
2022,7/21/2022,C7,61-80,11
2022,7/21/2022,C8,81-100,16
2022,7/21/2022,D1,41-60,5
2022,7/21/2022,D2,81-100,6
2022,7/21/2022,D3,61-80,12
2022,7/21/2022,D4,61-80,6
2022,7/21/2022,D5,81-100,12
2022,7/21/2022,D6,61-80,6
2022,7/21/2022,E1,61-80,17
2022,7/21/2022,E2,21-40,16
2022,7/27/2022,A1,61-80,21
2022,7/27/2022,A2,81-100,6
2022,7/27/2022,A3,41-60,11
2022,7/27/2022,A4,61-80,18
2022,7/27/2022,A5,81-100,6
2022,7/27/2022,A6,41-60,17
2022,7/27/2022,A7,41-60,10
2022,7/27/2022,A8,81-100,22
2022,7/27/2022,B1,81-100,14
2022,7/27/2022,B2,81-100,18
2022,7/27/2022,B3,81-100,34
2022,7/27/2022,B4,81-100,24
2022,7/27/2022,B5,81-100,9
2022,7/27/2022,B6,81-100,11
2022,7/27/2022,B7,61-80,12
2022,7/27/2022,B8,61-80,23
2022,7/27/2022,C1,61-80,7
2022,7/27/2022,C2,61-80,23
2022,7/27/2022,C3,81-100,26
2022,7/27/2022,C4,41-60,25
2022,7/27/2022,C5,61-80,12
2022,7/27/2022,C6,61-80,17
2022,7/27/2022,C7,61-80,27
2022,7/27/2022,C8,41-60,38
2022,7/27/2022,D1,61-80,29
2022,7/27/2022,D2,81-100,3
2022,7/27/2022,D3,41-60,16
2022,7/27/2022,D4,81-100,29
2022,7/27/2022,D5,81-100,16
2022,7/27/2022,D6,81-100,12
2022,7/27/2022,E1,81-100,23
2022,7/27/2022,E2,41-60,10
2022,8/4/2022,A1,81-100,12
2022,8/4/2022,A2,21-40,2
2022,8/4/2022,A3,81-100,10
2022,8/4/2022,A4,81-100,10
2022,8/4/2022,A5,61-80,12
2022,8/4/2022,A6,61-80,6
2022,8/4/2022,A7,61-80,8
2022,8/4/2022,A8,61-80,19
2022,8/4/2022,B1,81-100,21
2022,8/4/2022,B2,61-80,13
2022,8/4/2022,B3,61-80,11
2022,8/4/2022,B4,61-80,10
2022,8/4/2022,B5,81-100,7
2022,8/4/2022,B6,81-100,15
2022,8/4/2022,B7,61-80,17
2022,8/4/2022,B8,81-100,14
2022,8/4/2022,C1,61-80,8
2022,8/4/2022,C2,41-60,7
2022,8/4/2022,C3,41-60,9
2022,8/4/2022,C4,41-60,14
2022,8/4/2022,C5,41-60,10
2022,8/4/2022,C6,41-60,10
2022,8/4/2022,C7,61-80,20
2022,8/4/2022,C8,81-100,19
2022,8/4/2022,D1,41-60,14
2022,8/4/2022,D2,61-80,7
2022,8/4/2022,D3,21-40,5
2022,8/4/2022,D4,81-100,14
2022,8/4/2022,D5,41-60,9
2022,8/4/2022,D6,61-80,5
2022,8/4/2022,E1,41-60,11
2022,8/4/2022,E2,81-100,12
2022,8/26/2022,A1,61-80,3
2022,8/26/2022,A2,21-40,0
2022,8/26/2022,A3,41-60,0
2022,8/26/2022,A4,61-80,3
2022,8/26/2022,A5,21-40,0
2022,8/26/2022,A6,81-100,1
2022,8/26/2022,A7,61-80,1
2022,8/26/2022,A8,21-40,2
2022,8/26/2022,B1,21-40,1
2022,8/26/2022,B2,21-40,0
2022,8/26/2022,B3,0-20,2
2022,8/26/2022,B4,21-40,0
2022,8/26/2022,B5,21-40,0
2022,8/26/2022,B6,0-20,2
2022,8/26/2022,B7,0-20,3
2022,8/26/2022,B8,41-60,0
2022,8/26/2022,C1,21-40,1
2022,8/26/2022,C2,0-20,1
2022,8/26/2022,C3,41-60,0
2022,8/26/2022,C4,0-20,1
2022,8/26/2022,C5,21-40,2
2022,8/26/2022,C6,21-40,2
2022,8/26/2022,C7,21-40,2
2022,8/26/2022,C8,61-80,2
2022,8/26/2022,D1,41-60,2
2022,8/26/2022,D2,41-60,1
2022,8/26/2022,D3,21-40,0
2022,8/26/2022,D4,21-40,0
2022,8/26/2022,D5,61-80,0
2022,8/26/2022,D6,81-100,1
2022,8/26/2022,E1,41-60,0
2022,8/26/2022,E2,21-40,0
2022,8/31/2022,A1,81-100,1
2022,8/31/2022,A2,41-60,0
2022,8/31/2022,A3,61-80,0
2022,8/31/2022,A4,41-60,2
2022,8/31/2022,A5,81-100,0
2022,8/31/2022,A6,21-40,0
2022,8/31/2022,A7,41-60,0
2022,8/31/2022,A8,41-60,1
2022,8/31/2022,B1,61-80,0
2022,8/31/2022,B2,61-80,0
2022,8/31/2022,B3,81-100,2
2022,8/31/2022,B5,41-60,2
2022,8/31/2022,B6,41-60,0
2022,8/31/2022,B7,81-100,0
2022,8/31/2022,B8,61-80,4
2022,8/31/2022,C1,41-60,0
2022,8/31/2022,C3,81-100,1
2022,8/31/2022,C4,61-80,0
2022,8/31/2022,C5,21-40,0
2022,8/31/2022,C6,0-20,2
2022,8/31/2022,C7,41-60,0
2022,8/31/2022,C8,41-60,5
2022,8/31/2022,D1,41-60,0
2022,8/31/2022,D2,0-20,2
2022,8/31/2022,D3,41-60,1
2022,8/31/2022,D4,41-60,0
2022,8/31/2022,D5,21-40,0
2022,8/31/2022,D6,81-100,0
2022,8/31/2022,E1,81-100,0
2022,8/31/2022,E2,61-80,0
