Year,Date,Plot,Treatment,Leafhopper Number,Leafhoppers Per Sweep
2022,7/21/2022,A1,Nothing,24,2.4
2022,7/21/2022,A2,Stakes + SS,19,1.9
2022,7/21/2022,A3,Stakes,19,1.9
2022,7/21/2022,A4,Stakes + SS,17,1.7
2022,7/21/2022,A5,Stakes + SS,14,1.4
2022,7/21/2022,A6,SS,7,0.7
2022,7/21/2022,A7,Stakes,8,0.8
2022,7/21/2022,A8,Nothing,15,1.5
2022,7/21/2022,B1,SS,12,1.2
2022,7/21/2022,B2,SS,24,2.4
2022,7/21/2022,B3,SS,13,1.3
2022,7/21/2022,B4,Nothing,30,3
2022,7/21/2022,B5,SS,17,1.7
2022,7/21/2022,B6,Stakes + SS,10,1
2022,7/21/2022,B7,Nothing,13,1.3
2022,7/21/2022,B8,Stakes + SS,7,0.7
2022,7/21/2022,C1,Stakes + SS,15,1.5
2022,7/21/2022,C2,Stakes,4,0.4
2022,7/21/2022,C3,SS,28,2.8
2022,7/21/2022,C4,Stakes,11,1.1
2022,7/21/2022,C5,Stakes,18,1.8
2022,7/21/2022,C6,Stakes + SS,11,1.1
2022,7/21/2022,C7,Nothing,16,1.6
2022,7/21/2022,C8,Stakes,5,0.5
2022,7/21/2022,D1,Stakes,6,0.6
2022,7/21/2022,D2,Stakes,12,1.2
2022,7/21/2022,D3,Stakes + SS,6,0.6
2022,7/21/2022,D4,Nothing,12,1.2
2022,7/21/2022,D5,Nothing,6,0.6
2022,7/21/2022,D6,Nothing,17,1.7
2022,7/21/2022,E1,SS,16,1.6
2022,7/21/2022,E2,SS,7,0.7
2022,7/27/2022,A1,Nothing,21,2.1
2022,7/27/2022,A2,Stakes + SS,6,0.6
2022,7/27/2022,A3,Stakes,11,1.1
2022,7/27/2022,A4,Stakes + SS,18,1.8
2022,7/27/2022,A5,Stakes + SS,6,0.6
2022,7/27/2022,A6,SS,17,1.7
2022,7/27/2022,A7,Stakes,10,1
2022,7/27/2022,A8,Nothing,22,2.2
2022,7/27/2022,B1,SS,14,1.4
2022,7/27/2022,B2,SS,18,1.8
2022,7/27/2022,B3,SS,34,3.4
2022,7/27/2022,B4,Nothing,24,2.4
2022,7/27/2022,B5,SS,9,0.9
2022,7/27/2022,B6,Stakes + SS,11,1.1
2022,7/27/2022,B7,Nothing,12,1.2
2022,7/27/2022,B8,Stakes + SS,23,2.3
2022,7/27/2022,C1,Stakes + SS,7,0.7
2022,7/27/2022,C2,Stakes,23,2.3
2022,7/27/2022,C3,SS,26,2.6
2022,7/27/2022,C4,Stakes,25,2.5
2022,7/27/2022,C5,Stakes,12,1.2
2022,7/27/2022,C6,Stakes + SS,17,1.7
2022,7/27/2022,C7,Nothing,27,2.7
2022,7/27/2022,C8,Stakes,38,3.8
2022,7/27/2022,D1,Stakes,29,2.9
2022,7/27/2022,D2,Stakes,3,0.3
2022,7/27/2022,D3,Stakes + SS,16,1.6
2022,7/27/2022,D4,Nothing,29,2.9
2022,7/27/2022,D5,Nothing,16,1.6
2022,7/27/2022,D6,Nothing,12,1.2
2022,7/27/2022,E1,SS,23,2.3
2022,7/27/2022,E2,SS,10,1
2022,8/4/2022,A1,Nothing,12,1.2
2022,8/4/2022,A2,Stakes + SS,2,0.2
2022,8/4/2022,A3,Stakes,10,1
2022,8/4/2022,A4,Stakes + SS,10,1
2022,8/4/2022,A5,Stakes + SS,12,1.2
2022,8/4/2022,A6,SS,6,0.6
2022,8/4/2022,A7,Stakes,8,0.8
2022,8/4/2022,A8,Nothing,19,1.9
2022,8/4/2022,B1,SS,21,2.1
2022,8/4/2022,B2,SS,13,1.3
2022,8/4/2022,B3,SS,11,1.1
2022,8/4/2022,B4,Nothing,10,1
2022,8/4/2022,B5,SS,7,0.7
2022,8/4/2022,B6,Stakes + SS,15,1.5
2022,8/4/2022,B7,Nothing,17,1.7
2022,8/4/2022,B8,Stakes + SS,14,1.4
2022,8/4/2022,C1,Stakes + SS,8,0.8
2022,8/4/2022,C2,Stakes,7,0.7
2022,8/4/2022,C3,SS,9,0.9
2022,8/4/2022,C4,Stakes,14,1.4
2022,8/4/2022,C5,Stakes,10,1
2022,8/4/2022,C6,Stakes + SS,10,1
2022,8/4/2022,C7,Nothing,20,2
2022,8/4/2022,C8,Stakes,19,1.9
2022,8/4/2022,D1,Stakes,14,1.4
2022,8/4/2022,D2,Stakes,7,0.7
2022,8/4/2022,D3,Stakes + SS,5,0.5
2022,8/4/2022,D4,Nothing,14,1.4
2022,8/4/2022,D5,Nothing,9,0.9
2022,8/4/2022,D6,Nothing,5,0.5
2022,8/4/2022,E1,SS,11,1.1
2022,8/4/2022,E2,SS,12,1.2
