Year,Date,Plot,Treatment,Percentage Web Building,Leafhopper Number,Leafhoppers Per Sweep
2022,7/27/2022,A1,Nothing,0.57,21,2.1
2022,7/27/2022,A2,Stakes + SS,1,6,0.6
2022,7/27/2022,A3,Stakes,0.86,11,1.1
2022,7/27/2022,A4,Stakes + SS,0.57,18,1.8
2022,7/27/2022,A5,Stakes + SS,0.5,6,0.6
2022,7/27/2022,A6,SS,0.33,17,1.7
2022,7/27/2022,A7,Stakes,0.75,10,1
2022,7/27/2022,A8,Nothing,0.92,22,2.2
2022,7/27/2022,B1,SS,0.75,14,1.4
2022,7/27/2022,B2,SS,0.86,18,1.8
2022,7/27/2022,B3,SS,N/A,34,3.4
2022,7/27/2022,B4,Nothing,0.5,24,2.4
2022,7/27/2022,B5,SS,1,9,0.9
2022,7/27/2022,B6,Stakes + SS,0.86,11,1.1
2022,7/27/2022,B7,Nothing,0.33,12,1.2
2022,7/27/2022,B8,Stakes + SS,0.57,23,2.3
2022,7/27/2022,C1,Stakes + SS,0.81,7,0.7
2022,7/27/2022,C2,Stakes,0.66,23,2.3
2022,7/27/2022,C3,SS,0.71,26,2.6
2022,7/27/2022,C4,Stakes,0.58,25,2.5
2022,7/27/2022,C5,Stakes,0.71,12,1.2
2022,7/27/2022,C6,Stakes + SS,0.5,17,1.7
2022,7/27/2022,C7,Nothing,0.6,27,2.7
2022,7/27/2022,C8,Stakes,0.66,38,3.8
2022,7/27/2022,D1,Stakes,0.76,29,2.9
2022,7/27/2022,D2,Stakes,0.83,3,0.3
2022,7/27/2022,D3,Stakes + SS,0.58,16,1.6
2022,7/27/2022,D4,Nothing,0.8,29,2.9
2022,7/27/2022,D5,Nothing,0.86,16,1.6
2022,7/27/2022,D6,Nothing,0.56,12,1.2
2022,7/27/2022,E1,SS,0.54,23,2.3
2022,7/27/2022,E2,SS,0.59,10,1
2022,8/4/2022,A1,Nothing,0.6,12,1.2
2022,8/4/2022,A2,Stakes + SS,0.33,2,0.2
2022,8/4/2022,A3,Stakes,0.5,10,1
2022,8/4/2022,A4,Stakes + SS,0.6,10,1
2022,8/4/2022,A5,Stakes + SS,0.57,12,1.2
2022,8/4/2022,A6,SS,0.73,6,0.6
2022,8/4/2022,A7,Stakes,1,8,0.8
2022,8/4/2022,A8,Nothing,0.92,19,1.9
2022,8/4/2022,B1,SS,0.73,21,2.1
2022,8/4/2022,B2,SS,0.83,13,1.3
2022,8/4/2022,B3,SS,0.8,11,1.1
2022,8/4/2022,B4,Nothing,0.66,10,1
2022,8/4/2022,B5,SS,0.8,7,0.7
2022,8/4/2022,B6,Stakes + SS,0.9,15,1.5
2022,8/4/2022,B7,Nothing,0.85,17,1.7
2022,8/4/2022,B8,Stakes + SS,0.86,14,1.4
2022,8/4/2022,C1,Stakes + SS,0.7,8,0.8
2022,8/4/2022,C2,Stakes,0.7,7,0.7
2022,8/4/2022,C3,SS,0.71,9,0.9
2022,8/4/2022,C4,Stakes,0.63,14,1.4
2022,8/4/2022,C5,Stakes,0.73,10,1
2022,8/4/2022,C6,Stakes + SS,0.89,10,1
2022,8/4/2022,C7,Nothing,0.75,20,2
2022,8/4/2022,C8,Stakes,0.75,19,1.9
2022,8/4/2022,D1,Stakes,0.69,14,1.4
2022,8/4/2022,D2,Stakes,0.63,7,0.7
2022,8/4/2022,D3,Stakes + SS,0.63,5,0.5
2022,8/4/2022,D4,Nothing,0.66,14,1.4
2022,8/4/2022,D5,Nothing,0.69,9,0.9
2022,8/4/2022,D6,Nothing,0.71,5,0.5
2022,8/4/2022,E1,SS,0.27,11,1.1
2022,8/4/2022,E2,SS,0.29,12,1.2
2022,8/26/2022,A1,Nothing,0.5,3,0.3
2022,8/26/2022,A2,Stakes + SS,0.6,0,0
2022,8/26/2022,A3,Stakes,0.55,0,0
2022,8/26/2022,A4,Stakes + SS,0.2,3,0.3
2022,8/26/2022,A5,Stakes + SS,0.5,0,0
2022,8/26/2022,A6,SS,1,1,0.1
2022,8/26/2022,A7,Stakes,0.5,1,0.1
2022,8/26/2022,A8,Nothing,0.4,2,0.2
2022,8/26/2022,B1,SS,0.71,1,0.1
2022,8/26/2022,B2,SS,0.6,0,0
2022,8/26/2022,B3,SS,0.27,2,0.2
2022,8/26/2022,B4,Nothing,0.36,0,0
2022,8/26/2022,B5,SS,0.36,0,0
2022,8/26/2022,B6,Stakes + SS,0.09,2,0.2
2022,8/26/2022,B7,Nothing,0.6,3,0.3
2022,8/26/2022,B8,Stakes + SS,0.46,0,0
2022,8/26/2022,C1,Stakes + SS,0.33,1,0.1
2022,8/26/2022,C2,Stakes,0.08,1,0.1
2022,8/26/2022,C3,SS,0.22,0,0
2022,8/26/2022,C4,Stakes,0.21,1,0.1
2022,8/26/2022,C5,Stakes,0.42,2,0.2
2022,8/26/2022,C6,Stakes + SS,0.33,2,0.2
2022,8/26/2022,C7,Nothing,0.25,2,0.2
2022,8/26/2022,C8,Stakes,0.66,2,0.2
2022,8/26/2022,D1,Stakes,0.38,2,0.2
2022,8/26/2022,D2,Stakes,0.4,1,0.1
2022,8/26/2022,D3,Stakes + SS,0.6,0,0
2022,8/26/2022,D4,Nothing,1,0,0
2022,8/26/2022,D5,Nothing,1,0,0
2022,8/26/2022,D6,Nothing,1,1,0.1
2022,8/26/2022,E1,SS,0.5,0,0
2022,8/26/2022,E2,SS,0.25,0,0
2022,8/31/2022,A1,Nothing,0.5,1,0.1
2022,8/31/2022,A2,Stakes + SS,0.43,0,0
2022,8/31/2022,A3,Stakes,0.6,0,0
2022,8/31/2022,A4,Stakes + SS,0.5,2,0.2
2022,8/31/2022,A5,Stakes + SS,0.43,0,0
2022,8/31/2022,A6,SS,0.4,0,0
2022,8/31/2022,A7,Stakes,0.5,0,0
2022,8/31/2022,A8,Nothing,0.5,1,0.1
2022,8/31/2022,B1,SS,0.25,0,0
2022,8/31/2022,B2,SS,1,0,0
2022,8/31/2022,B3,SS,0.5,2,0.2
2022,8/31/2022,B4,Nothing,N/A,2,0.2
2022,8/31/2022,B5,SS,0,2,0.2
2022,8/31/2022,B6,Stakes + SS,0.33,0,0
2022,8/31/2022,B7,Nothing,0.5,0,0
2022,8/31/2022,B8,Stakes + SS,0.25,4,0.4
2022,8/31/2022,C1,Stakes + SS,0.14,0,0
2022,8/31/2022,C2,Stakes,N/A,0,0
2022,8/31/2022,C3,SS,0.43,1,0.1
2022,8/31/2022,C4,Stakes,0.83,0,0
2022,8/31/2022,C5,Stakes,0.66,0,0
2022,8/31/2022,C6,Stakes + SS,0.2,2,0.2
2022,8/31/2022,C7,Nothing,0.14,0,0
2022,8/31/2022,C8,Stakes,0.66,5,0.5
2022,8/31/2022,D1,Stakes,0.4,0,0
2022,8/31/2022,D2,Stakes,0.2,2,0.2
2022,8/31/2022,D3,Stakes + SS,0.5,1,0.1
2022,8/31/2022,D4,Nothing,0.5,0,0
2022,8/31/2022,D5,Nothing,0.25,0,0
2022,8/31/2022,D6,Nothing,0.66,0,0
2022,8/31/2022,E1,SS,0.25,0,0
2022,8/31/2022,E2,SS,0.66,0,0
