Year,Plot,Treatment,Distance,Spider Count
2022,A1,Nothing,2.1,2
2022,A1,Nothing,4.2,1
2022,A1,Nothing,6.3,4
2022,A8,Nothing,2.1,6
2022,A8,Nothing,4.2,5
2022,A8,Nothing,6.3,1
2022,B4,Nothing,2.1,1
2022,B4,Nothing,4.2,0
2022,B4,Nothing,6.3,3
2022,B7,Nothing,2.1,1
2022,B7,Nothing,4.2,0
2022,B7,Nothing,6.3,2
2022,C7,Nothing,2.1,6
2022,C7,Nothing,4.2,4
2022,C7,Nothing,6.3,5
2022,D4,Nothing,2.1,6
2022,D4,Nothing,4.2,4
2022,D4,Nothing,6.3,5
2022,D5,Nothing,2.1,9
2022,D5,Nothing,4.2,8
2022,D5,Nothing,6.3,4
2022,D6,Nothing,2.1,4
2022,D6,Nothing,4.2,9
2022,D6,Nothing,6.3,3
2022,A1,Nothing,2.1,4
2022,A1,Nothing,4.2,5
2022,A1,Nothing,6.3,1
2022,A8,Nothing,2.1,4
2022,A8,Nothing,4.2,3
2022,A8,Nothing,6.3,5
2022,B4,Nothing,2.1,1
2022,B4,Nothing,4.2,3
2022,B4,Nothing,6.3,2
2022,B7,Nothing,2.1,4
2022,B7,Nothing,4.2,6
2022,B7,Nothing,6.3,3
2022,C7,Nothing,2.1,6
2022,C7,Nothing,4.2,7
2022,C7,Nothing,6.3,3
2022,D4,Nothing,2.1,3
2022,D4,Nothing,4.2,2
2022,D4,Nothing,6.3,5
2022,D5,Nothing,2.1,4
2022,D5,Nothing,4.2,3
2022,D5,Nothing,6.3,9
2022,D6,Nothing,2.1,4
2022,D6,Nothing,4.2,6
2022,D6,Nothing,6.3,4
2022,A1,Nothing,2.1,1
2022,A1,Nothing,4.2,2
2022,A1,Nothing,6.3,4
2022,A8,Nothing,2.1,4
2022,A8,Nothing,4.2,2
2022,A8,Nothing,6.3,4
2022,B4,Nothing,2.1,2
2022,B4,Nothing,4.2,7
2022,B4,Nothing,6.3,4
2022,B7,Nothing,2.1,4
2022,B7,Nothing,4.2,2
2022,B7,Nothing,6.3,4
2022,C7,Nothing,2.1,2
2022,C7,Nothing,4.2,2
2022,C7,Nothing,6.3,0
2022,D4,Nothing,2.1,3
2022,D4,Nothing,4.2,0
2022,D4,Nothing,6.3,0
2022,D5,Nothing,2.1,1
2022,D5,Nothing,4.2,1
2022,D5,Nothing,6.3,1
2022,D6,Nothing,2.1,0
2022,D6,Nothing,4.2,1
2022,D6,Nothing,6.3,1
2022,A1,Nothing,2.1,1
2022,A1,Nothing,4.2,1
2022,A1,Nothing,6.3,0
2022,A8,Nothing,2.1,0
2022,A8,Nothing,4.2,0
2022,A8,Nothing,6.3,2
2022,B4,Nothing,2.1,0
2022,B4,Nothing,4.2,0
2022,B4,Nothing,6.3,0
2022,B7,Nothing,2.1,1
2022,B7,Nothing,4.2,1
2022,B7,Nothing,6.3,0
2022,C7,Nothing,2.1,3
2022,C7,Nothing,4.2,3
2022,C7,Nothing,6.3,1
2022,D4,Nothing,2.1,1
2022,D4,Nothing,4.2,0
2022,D4,Nothing,6.3,3
2022,D5,Nothing,2.1,1
2022,D5,Nothing,4.2,0
2022,D5,Nothing,6.3,3
2022,D6,Nothing,2.1,1
2022,D6,Nothing,4.2,1
2022,D6,Nothing,6.3,0
2022,A1,Nothing,2.1,0
2022,A1,Nothing,4.2,0
2022,A1,Nothing,6.3,0
2022,A8,Nothing,2.1,1
2022,A8,Nothing,4.2,2
2022,A8,Nothing,6.3,1
2022,B4,Nothing,2.1,0
2022,B4,Nothing,4.2,1
2022,B4,Nothing,6.3,3
2022,B7,Nothing,2.1,1
2022,B7,Nothing,4.2,0
2022,B7,Nothing,6.3,2
2022,C7,Nothing,2.1,1
2022,C7,Nothing,4.2,1
2022,C7,Nothing,6.3,0
2022,D4,Nothing,2.1,0
2022,D4,Nothing,4.2,1
2022,D4,Nothing,6.3,3
2022,D5,Nothing,2.1,1
2022,D5,Nothing,4.2,0
2022,D5,Nothing,6.3,1
2022,D6,Nothing,2.1,1
2022,D6,Nothing,4.2,2
2022,D6,Nothing,6.3,2
2022,A1,Nothing,2.1,3
2022,A1,Nothing,4.2,0
2022,A1,Nothing,6.3,0
2022,A8,Nothing,2.1,1
2022,A8,Nothing,4.2,3
2022,A8,Nothing,6.3,0
2022,B4,Nothing,2.1,2
2022,B4,Nothing,4.2,0
2022,B4,Nothing,6.3,1
2022,B7,Nothing,2.1,6
2022,B7,Nothing,4.2,1
2022,B7,Nothing,6.3,0
2022,C7,Nothing,2.1,1
2022,C7,Nothing,4.2,2
2022,C7,Nothing,6.3,1
2022,D4,Nothing,2.1,0
2022,D4,Nothing,4.2,0
2022,D4,Nothing,6.3,0
2022,D5,Nothing,2.1,1
2022,D5,Nothing,4.2,0
2022,D5,Nothing,6.3,0
2022,D6,Nothing,2.1,0
2022,D6,Nothing,4.2,0
2022,D6,Nothing,6.3,0
2022,A1,Nothing,2.1,1
2022,A1,Nothing,4.2,1
2022,A1,Nothing,6.3,0
2022,A8,Nothing,2.1,1
2022,A8,Nothing,4.2,1
2022,A8,Nothing,6.3,1
2022,B4,Nothing,2.1,1
2022,B4,Nothing,4.2,2
2022,B4,Nothing,6.3,0
2022,B7,Nothing,2.1,2
2022,B7,Nothing,4.2,1
2022,B7,Nothing,6.3,0
2022,C7,Nothing,2.1,0
2022,C7,Nothing,4.2,0
2022,C7,Nothing,6.3,0
2022,D4,Nothing,2.1,1
2022,D4,Nothing,4.2,2
2022,D4,Nothing,6.3,1
2022,D5,Nothing,2.1,2
2022,D5,Nothing,4.2,0
2022,D5,Nothing,6.3,0
2022,D6,Nothing,2.1,1
2022,D6,Nothing,4.2,0
2022,D6,Nothing,6.3,0
