Year,Date,Plot,Treatment,Family Count,Leafhopper Number,Leafhoppers Per Sweep
2022,7/21/2022,A1,Nothing,1,24,2.4
2022,7/21/2022,A2,Stakes + SS,3,19,1.9
2022,7/21/2022,A3,Stakes,1,19,1.9
2022,7/21/2022,A4,Stakes + SS,2,17,1.7
2022,7/21/2022,A5,Stakes + SS,2,14,1.4
2022,7/21/2022,A6,SS,2,7,0.7
2022,7/21/2022,A7,Stakes,2,8,0.8
2022,7/21/2022,A8,Nothing,1,15,1.5
2022,7/21/2022,B1,SS,3,12,1.2
2022,7/21/2022,B2,SS,3,24,2.4
2022,7/21/2022,B3,SS,2,13,1.3
2022,7/21/2022,B4,Nothing,2,30,3
2022,7/21/2022,B5,SS,2,17,1.7
2022,7/21/2022,B6,Stakes + SS,0,10,1
2022,7/21/2022,B7,Nothing,2,13,1.3
2022,7/21/2022,B8,Stakes + SS,2,7,0.7
2022,7/21/2022,C1,Stakes + SS,4,15,1.5
2022,7/21/2022,C2,Stakes,3,4,0.4
2022,7/21/2022,C3,SS,2,28,2.8
2022,7/21/2022,C4,Stakes,3,11,1.1
2022,7/21/2022,C5,Stakes,3,18,1.8
2022,7/21/2022,C6,Stakes + SS,1,11,1.1
2022,7/21/2022,C7,Nothing,1,16,1.6
2022,7/21/2022,C8,Stakes,1,5,0.5
2022,7/21/2022,D1,Stakes,3,6,0.6
2022,7/21/2022,D2,Stakes,2,12,1.2
2022,7/21/2022,D3,Stakes + SS,4,6,0.6
2022,7/21/2022,D4,Nothing,2,12,1.2
2022,7/21/2022,D5,Nothing,1,6,0.6
2022,7/21/2022,D6,Nothing,3,17,1.7
2022,7/21/2022,E1,SS,4,16,1.6
2022,7/21/2022,E2,SS,2,7,0.7
2022,7/27/2022,A1,Nothing,3,21,2.1
2022,7/27/2022,A2,Stakes + SS,1,6,0.6
2022,7/27/2022,A3,Stakes,3,11,1.1
2022,7/27/2022,A4,Stakes + SS,4,18,1.8
2022,7/27/2022,A5,Stakes + SS,3,6,0.6
2022,7/27/2022,A6,SS,5,17,1.7
2022,7/27/2022,A7,Stakes,5,10,1
2022,7/27/2022,A8,Nothing,3,22,2.2
2022,7/27/2022,B1,SS,3,14,1.4
2022,7/27/2022,B2,SS,3,18,1.8
2022,7/27/2022,B3,SS,1,34,3.4
2022,7/27/2022,B4,Nothing,3,24,2.4
2022,7/27/2022,B5,SS,3,9,0.9
2022,7/27/2022,B6,Stakes + SS,5,11,1.1
2022,7/27/2022,B7,Nothing,3,12,1.2
2022,7/27/2022,B8,Stakes + SS,5,23,2.3
2022,7/27/2022,C1,Stakes + SS,3,7,0.7
2022,7/27/2022,C2,Stakes,4,23,2.3
2022,7/27/2022,C3,SS,4,26,2.6
2022,7/27/2022,C4,Stakes,5,25,2.5
2022,7/27/2022,C5,Stakes,4,12,1.2
2022,7/27/2022,C6,Stakes + SS,5,17,1.7
2022,7/27/2022,C7,Nothing,4,27,2.7
2022,7/27/2022,C8,Stakes,3,38,3.8
2022,7/27/2022,D1,Stakes,8,29,2.9
2022,7/27/2022,D2,Stakes,5,3,0.3
2022,7/27/2022,D3,Stakes + SS,5,16,1.6
2022,7/27/2022,D4,Nothing,4,29,2.9
2022,7/27/2022,D5,Nothing,5,16,1.6
2022,7/27/2022,D6,Nothing,7,12,1.2
2022,7/27/2022,E1,SS,8,23,2.3
2022,7/27/2022,E2,SS,4,10,1
2022,8/4/2022,A1,Nothing,3,12,1.2
2022,8/4/2022,A2,Stakes + SS,3,2,0.2
2022,8/4/2022,A3,Stakes,2,10,1
2022,8/4/2022,A4,Stakes + SS,3,10,1
2022,8/4/2022,A5,Stakes + SS,4,12,1.2
2022,8/4/2022,A6,SS,3,6,0.6
2022,8/4/2022,A7,Stakes,3,8,0.8
2022,8/4/2022,A8,Nothing,4,19,1.9
2022,8/4/2022,B1,SS,3,21,2.1
2022,8/4/2022,B2,SS,3,13,1.3
2022,8/4/2022,B3,SS,4,11,1.1
2022,8/4/2022,B4,Nothing,3,10,1
2022,8/4/2022,B5,SS,2,7,0.7
2022,8/4/2022,B6,Stakes + SS,3,15,1.5
2022,8/4/2022,B7,Nothing,2,17,1.7
2022,8/4/2022,B8,Stakes + SS,2,14,1.4
2022,8/4/2022,C1,Stakes + SS,3,8,0.8
2022,8/4/2022,C2,Stakes,2,7,0.7
2022,8/4/2022,C3,SS,3,9,0.9
2022,8/4/2022,C4,Stakes,4,14,1.4
2022,8/4/2022,C5,Stakes,3,10,1
2022,8/4/2022,C6,Stakes + SS,6,10,1
2022,8/4/2022,C7,Nothing,3,20,2
2022,8/4/2022,C8,Stakes,4,19,1.9
2022,8/4/2022,D1,Stakes,4,14,1.4
2022,8/4/2022,D2,Stakes,4,7,0.7
2022,8/4/2022,D3,Stakes + SS,2,5,0.5
2022,8/4/2022,D4,Nothing,4,14,1.4
2022,8/4/2022,D5,Nothing,3,9,0.9
2022,8/4/2022,D6,Nothing,3,5,0.5
2022,8/4/2022,E1,SS,5,11,1.1
2022,8/4/2022,E2,SS,3,12,1.2
2022,8/26/2022,A1,Nothing,4,3,0.3
2022,8/26/2022,A2,Stakes + SS,3,0,0
2022,8/26/2022,A3,Stakes,5,0,0
2022,8/26/2022,A4,Stakes + SS,3,3,0.3
2022,8/26/2022,A5,Stakes + SS,4,0,0
2022,8/26/2022,A6,SS,1,1,0.1
2022,8/26/2022,A7,Stakes,3,1,0.1
2022,8/26/2022,A8,Nothing,4,2,0.2
2022,8/26/2022,B1,SS,3,1,0.1
2022,8/26/2022,B2,SS,1,0,0
2022,8/26/2022,B3,SS,2,2,0.2
2022,8/26/2022,B4,Nothing,3,0,0
2022,8/26/2022,B5,SS,4,0,0
2022,8/26/2022,B6,Stakes + SS,2,2,0.2
2022,8/26/2022,B7,Nothing,2,3,0.3
2022,8/26/2022,B8,Stakes + SS,3,0,0
2022,8/26/2022,C1,Stakes + SS,2,1,0.1
2022,8/26/2022,C2,Stakes,3,1,0.1
2022,8/26/2022,C3,SS,7,0,0
2022,8/26/2022,C4,Stakes,4,1,0.1
2022,8/26/2022,C5,Stakes,3,2,0.2
2022,8/26/2022,C6,Stakes + SS,2,2,0.2
2022,8/26/2022,C7,Nothing,2,2,0.2
2022,8/26/2022,C8,Stakes,2,2,0.2
2022,8/26/2022,D1,Stakes,4,2,0.2
2022,8/26/2022,D2,Stakes,2,1,0.1
2022,8/26/2022,D3,Stakes + SS,3,0,0
2022,8/26/2022,D4,Nothing,1,0,0
2022,8/26/2022,D5,Nothing,2,0,0
2022,8/26/2022,D6,Nothing,2,1,0.1
2022,8/26/2022,E1,SS,3,0,0
2022,8/26/2022,E2,SS,3,0,0
2022,8/31/2022,A1,Nothing,2,1,0.1
2022,8/31/2022,A2,Stakes + SS,4,0,0
2022,8/31/2022,A3,Stakes,3,0,0
2022,8/31/2022,A4,Stakes + SS,2,2,0.2
2022,8/31/2022,A5,Stakes + SS,3,0,0
2022,8/31/2022,A6,SS,3,0,0
2022,8/31/2022,A7,Stakes,2,0,0
2022,8/31/2022,A8,Nothing,2,1,0.1
2022,8/31/2022,B1,SS,4,0,0
2022,8/31/2022,B2,SS,1,0,0
2022,8/31/2022,B3,SS,5,2,0.2
2022,8/31/2022,B4,Nothing,0,2,0.2
2022,8/31/2022,B5,SS,2,2,0.2
2022,8/31/2022,B6,Stakes + SS,2,0,0
2022,8/31/2022,B7,Nothing,2,0,0
2022,8/31/2022,B8,Stakes + SS,4,4,0.4
2022,8/31/2022,C1,Stakes + SS,5,0,0
2022,8/31/2022,C2,Stakes,0,0,0
2022,8/31/2022,C3,SS,3,1,0.1
2022,8/31/2022,C4,Stakes,2,0,0
2022,8/31/2022,C5,Stakes,2,0,0
2022,8/31/2022,C6,Stakes + SS,2,2,0.2
2022,8/31/2022,C7,Nothing,3,0,0
2022,8/31/2022,C8,Stakes,3,5,0.5
2022,8/31/2022,D1,Stakes,2,0,0
2022,8/31/2022,D2,Stakes,3,2,0.2
2022,8/31/2022,D3,Stakes + SS,3,1,0.1
2022,8/31/2022,D4,Nothing,3,0,0
2022,8/31/2022,D5,Nothing,3,0,0
2022,8/31/2022,D6,Nothing,2,0,0
2022,8/31/2022,E1,SS,3,0,0
2022,8/31/2022,E2,SS,2,0,0
