Year,Date,Plot,Treatment,Spider Count,Leafhopper Number,Leafhoppers Per Sweep
2022,7/21/2022,A1,Nothing,1,24,2.4
2022,7/21/2022,A2,Stakes + SS,10,19,1.9
2022,7/21/2022,A3,Stakes,3,19,1.9
2022,7/21/2022,A4,Stakes + SS,5,17,1.7
2022,7/21/2022,A5,Stakes + SS,5,14,1.4
2022,7/21/2022,A6,SS,4,7,0.7
2022,7/21/2022,A7,Stakes,4,8,0.8
2022,7/21/2022,A8,Nothing,3,15,1.5
2022,7/21/2022,B1,SS,6,12,1.2
2022,7/21/2022,B2,SS,8,24,2.4
2022,7/21/2022,B3,SS,3,13,1.3
2022,7/21/2022,B4,Nothing,4,30,3
2022,7/21/2022,B5,SS,4,17,1.7
2022,7/21/2022,B6,Stakes + SS,0,10,1
2022,7/21/2022,B7,Nothing,2,13,1.3
2022,7/21/2022,B8,Stakes + SS,3,7,0.7
2022,7/21/2022,C1,Stakes + SS,5,15,1.5
2022,7/21/2022,C2,Stakes,6,4,0.4
2022,7/21/2022,C3,SS,7,28,2.8
2022,7/21/2022,C4,Stakes,4,11,1.1
2022,7/21/2022,C5,Stakes,5,18,1.8
2022,7/21/2022,C6,Stakes + SS,3,11,1.1
2022,7/21/2022,C7,Nothing,3,16,1.6
2022,7/21/2022,C8,Stakes,7,5,0.5
2022,7/21/2022,D1,Stakes,7,6,0.6
2022,7/21/2022,D2,Stakes,5,12,1.2
2022,7/21/2022,D3,Stakes + SS,9,6,0.6
2022,7/21/2022,D4,Nothing,8,12,1.2
2022,7/21/2022,D5,Nothing,8,6,0.6
2022,7/21/2022,D6,Nothing,6,17,1.7
2022,7/21/2022,E1,SS,6,16,1.6
2022,7/21/2022,E2,SS,10,7,0.7
2022,7/27/2022,A1,Nothing,7,21,2.1
2022,7/27/2022,A2,Stakes + SS,3,6,0.6
2022,7/27/2022,A3,Stakes,7,11,1.1
2022,7/27/2022,A4,Stakes + SS,7,18,1.8
2022,7/27/2022,A5,Stakes + SS,6,6,0.6
2022,7/27/2022,A6,SS,9,17,1.7
2022,7/27/2022,A7,Stakes,8,10,1
2022,7/27/2022,A8,Nothing,12,22,2.2
2022,7/27/2022,B1,SS,4,14,1.4
2022,7/27/2022,B2,SS,6,18,1.8
2022,7/27/2022,B3,SS,3,34,3.4
2022,7/27/2022,B4,Nothing,4,24,2.4
2022,7/27/2022,B5,SS,9,9,0.9
2022,7/27/2022,B6,Stakes + SS,8,11,1.1
2022,7/27/2022,B7,Nothing,3,12,1.2
2022,7/27/2022,B8,Stakes + SS,7,23,2.3
2022,7/27/2022,C1,Stakes + SS,16,7,0.7
2022,7/27/2022,C2,Stakes,15,23,2.3
2022,7/27/2022,C3,SS,7,26,2.6
2022,7/27/2022,C4,Stakes,19,25,2.5
2022,7/27/2022,C5,Stakes,21,12,1.2
2022,7/27/2022,C6,Stakes + SS,16,17,1.7
2022,7/27/2022,C7,Nothing,15,27,2.7
2022,7/27/2022,C8,Stakes,15,38,3.8
2022,7/27/2022,D1,Stakes,25,29,2.9
2022,7/27/2022,D2,Stakes,18,3,0.3
2022,7/27/2022,D3,Stakes + SS,26,16,1.6
2022,7/27/2022,D4,Nothing,15,29,2.9
2022,7/27/2022,D5,Nothing,21,16,1.6
2022,7/27/2022,D6,Nothing,16,12,1.2
2022,7/27/2022,E1,SS,27,23,2.3
2022,7/27/2022,E2,SS,23,10,1
2022,8/4/2022,A1,Nothing,10,12,1.2
2022,8/4/2022,A2,Stakes + SS,3,2,0.2
2022,8/4/2022,A3,Stakes,6,10,1
2022,8/4/2022,A4,Stakes + SS,5,10,1
2022,8/4/2022,A5,Stakes + SS,7,12,1.2
2022,8/4/2022,A6,SS,11,6,0.6
2022,8/4/2022,A7,Stakes,8,8,0.8
2022,8/4/2022,A8,Nothing,12,19,1.9
2022,8/4/2022,B1,SS,11,21,2.1
2022,8/4/2022,B2,SS,6,13,1.3
2022,8/4/2022,B3,SS,10,11,1.1
2022,8/4/2022,B4,Nothing,6,10,1
2022,8/4/2022,B5,SS,5,7,0.7
2022,8/4/2022,B6,Stakes + SS,10,15,1.5
2022,8/4/2022,B7,Nothing,13,17,1.7
2022,8/4/2022,B8,Stakes + SS,7,14,1.4
2022,8/4/2022,C1,Stakes + SS,20,8,0.8
2022,8/4/2022,C2,Stakes,10,7,0.7
2022,8/4/2022,C3,SS,14,9,0.9
2022,8/4/2022,C4,Stakes,19,14,1.4
2022,8/4/2022,C5,Stakes,15,10,1
2022,8/4/2022,C6,Stakes + SS,18,10,1
2022,8/4/2022,C7,Nothing,16,20,2
2022,8/4/2022,C8,Stakes,20,19,1.9
2022,8/4/2022,D1,Stakes,16,14,1.4
2022,8/4/2022,D2,Stakes,14,7,0.7
2022,8/4/2022,D3,Stakes + SS,16,5,0.5
2022,8/4/2022,D4,Nothing,10,14,1.4
2022,8/4/2022,D5,Nothing,16,9,0.9
2022,8/4/2022,D6,Nothing,14,5,0.5
2022,8/4/2022,E1,SS,31,11,1.1
2022,8/4/2022,E2,SS,17,12,1.2
