Year,Date,Plot,Treatment,Web,Leafhopper
2022,8/26/2022,A1,Nothing,41-60,3
2022,8/26/2022,A2,Stakes + SS,41-60,0
2022,8/26/2022,A3,Stakes,41-60,0
2022,8/26/2022,A4,Stakes + SS,0-20,3
2022,8/26/2022,A5,Stakes + SS,41-60,0
2022,8/26/2022,A6,SS,81-100,1
2022,8/26/2022,A7,Stakes,41-60,1
2022,8/26/2022,A8,Nothing,21-40,2
2022,8/26/2022,B1,SS,61-80,1
2022,8/26/2022,B2,SS,41-60,0
2022,8/26/2022,B3,SS,21-40,2
2022,8/26/2022,B4,Nothing,21-40,0
2022,8/26/2022,B5,SS,21-40,0
2022,8/26/2022,B6,Stakes + SS,0-20,2
2022,8/26/2022,B7,Nothing,41-60,3
2022,8/26/2022,B8,Stakes + SS,41-60,0
2022,8/26/2022,C1,Stakes + SS,21-40,1
2022,8/26/2022,C2,Stakes,0-20,1
2022,8/26/2022,C3,SS,21-40,0
2022,8/26/2022,C4,Stakes,21-40,1
2022,8/26/2022,C5,Stakes,41-60,2
2022,8/26/2022,C6,Stakes + SS,21-40,2
2022,8/26/2022,C7,Nothing,21-40,2
2022,8/26/2022,C8,Stakes,61-80,2
2022,8/26/2022,D1,Stakes,21-40,2
2022,8/26/2022,D2,Stakes,21-40,1
2022,8/26/2022,D3,Stakes + SS,41-60,0
2022,8/26/2022,D4,Nothing,81-100,0
2022,8/26/2022,D5,Nothing,81-100,0
2022,8/26/2022,D6,Nothing,81-100,1
2022,8/26/2022,E1,SS,41-60,0
2022,8/26/2022,E2,SS,21-40,0
